Trial,Discounted health benefit ($),Discounted income benefit ($),Total discounted benefit ($),Discounted costs ($),Benefit-cost ratio,,
895,"$123,053,065","$18,775,158","$141,828,224","$1,571,128",90.3,,
896,"$263,541,120","$61,706,080","$325,247,200","$1,152,886",282.1,,
897,"$155,381,210","$60,245,899","$215,627,108","$2,423,223",89.0,,
898,"$109,817,634","$37,490,559","$147,308,193","$2,624,625",56.1,,
899,"$152,061,389","$40,103,055","$192,164,445","$1,506,890",127.5,,
900,"$229,644,556","$69,767,988","$299,412,544","$2,910,183",102.9,,
901,"$88,104,770","$17,151,706","$105,256,476","$2,279,850",46.2,,
902,"$586,887,016","$183,401,871","$770,288,888","$3,024,229",254.7,,
903,"$510,214,637","$150,665,901","$660,880,537","$1,363,058",484.9,,
904,"$226,417,955","$28,891,023","$255,308,978","$1,501,413",170.0,,
905,"$184,430,650","$45,635,724","$230,066,374","$1,700,570",135.3,,
906,"$208,171,050","$82,610,568","$290,781,618","$1,753,053",165.9,,
907,"$29,496,000","$15,831,593","$45,327,592","$1,257,659",36.0,,
908,"$157,221,862","$32,646,147","$189,868,009","$2,164,491",87.7,,
909,"$95,393,272","$26,518,627","$121,911,899","$1,550,570",78.6,,
910,"$103,807,332","$34,940,606","$138,747,939","$2,216,173",62.6,,
911,"$244,610,235","$41,343,438","$285,953,674","$1,929,940",148.2,,
912,"$186,762,200","$78,081,744","$264,843,944","$3,379,486",78.4,,
913,"$273,602,549","$81,383,227","$354,985,776","$2,338,967",151.8,,
914,"$267,233,865","$80,263,052","$347,496,917","$2,506,114",138.7,,
915,"$469,696,362","$120,768,154","$590,464,516","$1,887,569",312.8,,
916,"$124,694,918","$49,290,777","$173,985,695","$2,150,016",80.9,,
917,"$236,820,045","$77,962,693","$314,782,738","$1,583,330",198.8,,
918,"$174,904,813","$26,822,448","$201,727,260","$1,829,441",110.3,,
919,"$112,765,825","$27,342,868","$140,108,693","$1,927,236",72.7,,
920,"$152,218,972","$61,821,212","$214,040,184","$2,174,915",98.4,,
921,"$72,197,712","$30,659,416","$102,857,128","$760,893",135.2,,
922,"$64,246,459","$16,878,951","$81,125,410","$1,357,751",59.7,,
923,"$408,606,319","$89,109,058","$497,715,378","$1,888,482",263.6,,
924,"$80,351,761","$20,662,235","$101,013,996","$3,164,486",31.9,,
925,"$385,285,019","$123,810,379","$509,095,398","$2,656,729",191.6,,
926,"$166,091,771","$42,317,904","$208,409,675","$2,125,477",98.1,,
927,"$114,738,749","$49,534,738","$164,273,487","$1,243,371",132.1,,
928,"$254,555,429","$93,618,686","$348,174,115","$1,189,534",292.7,,
929,"$60,377,632","$26,828,380","$87,206,012","$1,395,966",62.5,,
930,"$106,310,349","$52,932,492","$159,242,841","$2,305,175",69.1,,
931,"$246,505,860","$56,550,202","$303,056,062","$2,047,688",148.0,,
932,"$233,709,616","$68,694,902","$302,404,518","$2,050,273",147.5,,
933,"$133,704,841","$70,462,103","$204,166,943","$3,179,903",64.2,,
934,"$124,746,778","$70,611,439","$195,358,217","$2,035,517",96.0,,
935,"$99,484,756","$77,497,302","$176,982,058","$2,773,318",63.8,,
936,"$151,065,613","$60,515,691","$211,581,304","$1,362,195",155.3,,
937,"$38,979,109","$14,055,039","$53,034,148","$1,013,059",52.4,,
938,"$157,740,035","$81,165,292","$238,905,327","$2,027,759",117.8,,
939,"$172,620,926","$90,799,470","$263,420,396","$2,093,616",125.8,,
940,"$53,651,630","$15,622,922","$69,274,552","$1,714,823",40.4,,
941,"$35,010,055","$10,227,265","$45,237,320","$792,101",57.1,,
942,"$172,356,052","$33,765,545","$206,121,597","$2,683,501",76.8,,
943,"$358,774,867","$75,870,603","$434,645,470","$2,300,205",189.0,,
944,"$154,698,608","$48,848,768","$203,547,377","$1,988,911",102.3,,
945,"$106,336,100","$37,092,000","$143,428,099","$1,268,410",113.1,,
946,"$379,281,103","$84,573,026","$463,854,129","$1,656,138",280.1,,
947,"$168,215,458","$84,001,156","$252,216,614","$2,118,592",119.0,,
948,"$228,702,992","$53,893,662","$282,596,654","$2,705,868",104.4,,
949,"$242,426,516","$74,932,108","$317,358,624","$2,518,785",126.0,,
950,"$227,247,173","$106,091,676","$333,338,848","$1,204,992",276.6,,
951,"$40,853,615","$19,889,447","$60,743,062","$1,149,615",52.8,,
952,"$69,147,683","$15,477,771","$84,625,454","$1,483,217",57.1,,
953,"$350,687,783","$70,197,819","$420,885,603","$933,493",450.9,,
954,"$18,004,321","$4,029,783","$22,034,104","$1,332,414",16.5,,
955,"$580,926,969","$208,944,556","$789,871,525","$2,050,430",385.2,,
956,"$254,168,334","$81,367,673","$335,536,007","$1,770,568",189.5,,
957,"$375,418,388","$59,190,700","$434,609,087","$1,854,840",234.3,,
958,"$302,699,806","$77,327,576","$380,027,382","$2,067,498",183.8,,
959,"$20,596,463","$8,185,028","$28,781,492","$1,494,316",19.3,,
960,"$18,203,905","$4,241,150","$22,445,055","$907,811",24.7,,
961,"$96,346,818","$24,240,400","$120,587,218","$1,060,313",113.7,,
962,"$353,033,316","$82,153,303","$435,186,619","$1,773,245",245.4,,
963,"$111,002,141","$29,217,792","$140,219,933","$1,659,872",84.5,,
964,"$164,581,374","$56,382,195","$220,963,568","$2,116,981",104.4,,
965,"$97,857,381","$38,979,909","$136,837,290","$2,820,507",48.5,,
966,"$108,546,026","$25,919,740","$134,465,765","$1,301,847",103.3,,
967,"$55,793,892","$36,337,626","$92,131,518","$1,748,308",52.7,,
968,"$136,949,135","$49,317,813","$186,266,948","$3,297,098",56.5,,
969,"$67,049,709","$16,958,221","$84,007,929","$2,122,289",39.6,,
970,"$41,852,187","$21,227,204","$63,079,391","$998,867",63.2,,
971,"$71,693,267","$30,050,801","$101,744,067","$1,713,248",59.4,,
972,"$96,416,602","$25,359,488","$121,776,090","$1,527,990",79.7,,
973,"$179,789,432","$38,514,143","$218,303,575","$2,020,580",108.0,,
974,"$192,170,641","$38,333,209","$230,503,850","$2,539,216",90.8,,
975,"$85,757,686","$47,423,263","$133,180,949","$2,987,388",44.6,,
976,"$255,592,218","$56,892,575","$312,484,793","$1,546,200",202.1,,
977,"$127,294,821","$35,852,004","$163,146,824","$1,869,130",87.3,,
978,"$70,243,415","$33,606,679","$103,850,095","$1,517,118",68.5,,
979,"$281,947,656","$55,119,896","$337,067,552","$1,881,604",179.1,,
980,"$53,636,554","$21,687,680","$75,324,234","$1,856,116",40.6,,
981,"$109,407,065","$31,973,221","$141,380,286","$1,903,677",74.3,,
982,"$506,148,698","$150,390,745","$656,539,444","$930,981",705.2,,
983,"$180,480,052","$48,741,209","$229,221,261","$1,848,738",124.0,,
984,"$154,540,277","$49,885,356","$204,425,633","$2,453,142",83.3,,
985,"$204,327,289","$26,364,784","$230,692,073","$1,769,383",130.4,,
986,"$323,652,247","$27,941,945","$351,594,192","$2,693,815",130.5,,
987,"$226,632,773","$37,775,267","$264,408,040","$1,411,807",187.3,,
988,"$276,806,593","$55,058,834","$331,865,426","$2,070,475",160.3,,
989,"$199,251,427","$35,831,350","$235,082,776","$2,605,389",90.2,,
990,"$178,361,309","$31,840,775","$210,202,084","$1,144,419",183.7,,
991,"$327,358,080","$143,740,327","$471,098,407","$2,326,431",202.5,,
992,"$59,856,178","$16,018,358","$75,874,537","$1,757,238",43.2,,
993,"$223,751,158","$52,287,432","$276,038,590","$1,571,344",175.7,,
994,"$30,181,991","$15,127,766","$45,309,757","$1,876,728",24.1,,
995,"$89,153,935","$20,703,228","$109,857,163","$1,411,090",77.9,,
996,"$139,323,471","$34,610,784","$173,934,256","$1,442,705",120.6,,
997,"$160,030,776","$74,026,353","$234,057,129","$3,466,498",67.5,,
998,"$885,668,214","$194,666,185","$1,080,334,399","$2,718,930",397.3,,
999,"$19,591,571","$5,669,251","$25,260,822","$1,230,986",20.5,,
1000,"$183,736,286","$55,271,274","$239,007,560","$1,180,637",202.4,,
Mean,"$172,362,992","$51,131,914","$223,494,906","$1,965,356",114.9,,
Standard deviation,"$142,557,355","$40,551,653","$177,392,991","$681,648",83.0,,
Credible interval upper,"$435,281,001","$129,947,058","$536,026,668","$3,173,068",274.2,,
Credible interval lower,"$29,475,393","$8,641,114","$41,380,829","$1,001,696",24.7,,
