Trial,Discounted health benefit ($),Discounted income benefit ($),Total discounted benefit ($),Discounted costs ($),Benefit-cost ratio,,
436,"$36,444,729","$167,209,390","$203,654,119","$3,177,729",64.1,,
437,"$10,524,533","$176,787,234","$187,311,766","$1,942,977",96.4,,
438,"$2,234,242","$14,187,409","$16,421,651","$4,560,182",3.6,,
439,"$14,899,681","$107,948,318","$122,847,999","$2,239,535",54.9,,
440,"$3,411,246","$48,403,651","$51,814,896","$3,037,508",17.1,,
441,"$34,087,950","$264,051,558","$298,139,508","$6,012,528",49.6,,
442,"$106,426,255","$721,060,501","$827,486,755","$2,091,005",395.7,,
443,"$18,358,274","$157,007,267","$175,365,541","$3,343,909",52.4,,
444,"$43,439,260","$769,395,753","$812,835,013","$2,108,598",385.5,,
445,"$63,680,980","$837,717,951","$901,398,931","$4,895,168",184.1,,
446,"$14,294,927","$120,671,501","$134,966,428","$1,457,536",92.6,,
447,"$18,078,824","$99,735,410","$117,814,234","$1,874,865",62.8,,
448,"$58,667,409","$320,770,273","$379,437,682","$2,241,745",169.3,,
449,"$12,477,177","$106,008,009","$118,485,185","$1,136,283",104.3,,
450,"$19,201,609","$105,375,354","$124,576,962","$1,790,978",69.6,,
451,"$10,825,407","$173,175,442","$184,000,849","$3,543,326",51.9,,
452,"$19,063,868","$159,833,702","$178,897,570","$4,314,490",41.5,,
453,"$9,249,451","$67,301,929","$76,551,380","$2,354,442",32.5,,
454,"$10,817,704","$134,533,336","$145,351,040","$2,714,939",53.5,,
455,"$4,602,632","$34,878,142","$39,480,774","$4,662,566",8.5,,
456,"$24,954,747","$379,912,105","$404,866,852","$4,632,484",87.4,,
457,"$14,622,695","$202,600,846","$217,223,541","$2,772,401",78.4,,
458,"$23,650,365","$206,204,895","$229,855,260","$2,584,619",88.9,,
459,"$8,558,794","$60,577,207","$69,136,001","$1,376,573",50.2,,
460,"$15,670,394","$93,910,611","$109,581,004","$2,112,190",51.9,,
461,"$30,238,876","$297,322,545","$327,561,420","$3,291,224",99.5,,
462,"$52,027,858","$429,054,605","$481,082,463","$3,211,276",149.8,,
463,"$11,572,611","$144,612,361","$156,184,972","$2,160,018",72.3,,
464,"$40,791,631","$71,873,399","$112,665,031","$2,295,878",49.1,,
465,"$24,391,794","$213,132,102","$237,523,896","$1,797,550",132.1,,
466,"$88,094,229","$577,822,183","$665,916,412","$2,657,663",250.6,,
467,"$6,641,514","$179,381,776","$186,023,290","$2,752,137",67.6,,
468,"$13,726,598","$132,572,757","$146,299,355","$3,885,396",37.7,,
469,"$25,040,109","$291,785,043","$316,825,152","$5,237,928",60.5,,
470,"$21,665,477","$249,188,414","$270,853,891","$3,183,845",85.1,,
471,"$36,614,210","$272,666,141","$309,280,351","$2,458,416",125.8,,
472,"$12,193,270","$95,016,599","$107,209,870","$1,385,833",77.4,,
473,"$24,106,859","$269,322,967","$293,429,826","$2,393,268",122.6,,
474,"$29,067,133","$150,261,493","$179,328,626","$2,679,233",66.9,,
475,"$3,304,486","$32,854,781","$36,159,266","$1,106,596",32.7,,
476,"$9,700,722","$30,076,755","$39,777,477","$2,498,548",15.9,,
477,"$13,235,153","$83,066,422","$96,301,575","$2,025,825",47.5,,
478,"$6,399,401","$101,678,826","$108,078,227","$1,950,144",55.4,,
479,"$36,285,546","$415,009,825","$451,295,371","$1,287,135",350.6,,
480,"$31,483,887","$153,962,268","$185,446,156","$2,542,070",73.0,,
481,"$5,086,790","$62,739,320","$67,826,111","$2,590,066",26.2,,
482,"$5,221,192","$34,848,494","$40,069,686","$2,210,555",18.1,,
483,"$17,331,485","$167,395,613","$184,727,098","$2,809,119",65.8,,
484,"$15,829,549","$116,768,377","$132,597,926","$1,876,157",70.7,,
485,"$23,270,336","$115,727,107","$138,997,443","$1,990,243",69.8,,
486,"$18,277,565","$175,997,466","$194,275,031","$3,071,571",63.2,,
487,"$47,354,511","$540,392,304","$587,746,815","$4,431,136",132.6,,
488,"$13,967,108","$196,240,033","$210,207,141","$1,913,592",109.8,,
489,"$36,082,566","$171,470,811","$207,553,377","$3,967,285",52.3,,
490,"$22,538,450","$137,788,433","$160,326,883","$2,118,174",75.7,,
491,"$17,481,766","$98,294,881","$115,776,647","$2,037,120",56.8,,
492,"$5,443,604","$42,453,459","$47,897,063","$1,863,362",25.7,,
493,"$34,546,708","$225,758,813","$260,305,521","$2,956,986",88.0,,
494,"$24,570,878","$244,442,571","$269,013,449","$4,350,639",61.8,,
495,"$4,979,419","$27,399,642","$32,379,061","$2,492,224",13.0,,
496,"$5,673,599","$55,245,435","$60,919,034","$2,675,435",22.8,,
497,"$10,430,482","$70,923,410","$81,353,892","$2,722,823",29.9,,
498,"$12,353,755","$77,297,308","$89,651,063","$1,853,458",48.4,,
499,"$37,352,301","$484,595,768","$521,948,069","$2,147,558",243.0,,
500,"$10,958,106","$150,738,835","$161,696,940","$2,330,368",69.4,,
501,"$15,908,546","$57,465,883","$73,374,429","$2,704,767",27.1,,
502,"$19,214,268","$206,362,663","$225,576,932","$3,186,756",70.8,,
503,"$40,368,538","$144,196,890","$184,565,428","$1,983,858",93.0,,
504,"$16,146,060","$228,288,010","$244,434,070","$2,896,891",84.4,,
505,"$14,131,417","$60,490,258","$74,621,675","$4,093,642",18.2,,
506,"$19,897,471","$257,168,034","$277,065,505","$3,762,949",73.6,,
507,"$11,841,078","$105,867,897","$117,708,975","$1,675,207",70.3,,
508,"$21,133,331","$150,592,348","$171,725,680","$2,233,766",76.9,,
509,"$36,594,456","$339,693,137","$376,287,592","$2,599,340",144.8,,
510,"$9,577,969","$110,595,659","$120,173,628","$1,615,905",74.4,,
511,"$8,625,067","$59,977,931","$68,602,998","$3,055,567",22.5,,
512,"$22,114,943","$150,050,857","$172,165,800","$1,451,822",118.6,,
513,"$20,550,416","$280,557,102","$301,107,517","$2,875,393",104.7,,
514,"$12,383,308","$151,321,377","$163,704,685","$5,454,139",30.0,,
515,"$4,877,607","$47,434,287","$52,311,894","$1,973,557",26.5,,
516,"$34,424,199","$346,887,769","$381,311,968","$3,034,385",125.7,,
517,"$23,340,789","$220,388,127","$243,728,916","$5,155,639",47.3,,
518,"$11,164,052","$69,919,864","$81,083,916","$2,140,156",37.9,,
519,"$45,933,790","$320,944,592","$366,878,382","$1,918,670",191.2,,
520,"$40,109,111","$359,960,424","$400,069,535","$2,907,331",137.6,,
521,"$27,799,195","$245,210,623","$273,009,818","$2,336,018",116.9,,
522,"$16,016,547","$118,330,462","$134,347,009","$3,124,577",43.0,,
523,"$57,232,068","$472,065,167","$529,297,235","$2,961,296",178.7,,
524,"$20,183,088","$141,448,429","$161,631,517","$3,869,351",41.8,,
525,"$38,617,941","$319,185,931","$357,803,871","$2,060,572",173.6,,
526,"$32,552,013","$268,773,646","$301,325,659","$4,844,239",62.2,,
527,"$21,932,862","$267,982,658","$289,915,520","$2,228,323",130.1,,
528,"$6,688,107","$113,332,713","$120,020,820","$2,069,950",58.0,,
529,"$18,200,831","$121,226,979","$139,427,810","$1,499,781",93.0,,
530,"$11,620,531","$111,811,360","$123,431,890","$1,868,961",66.0,,
531,"$55,698,359","$353,682,270","$409,380,629","$2,383,171",171.8,,
532,"$13,522,121","$117,860,037","$131,382,158","$1,478,618",88.9,,
533,"$13,850,910","$146,224,708","$160,075,618","$2,439,841",65.6,,
534,"$658,708","$5,957,867","$6,616,575","$2,782,091",2.4,,
535,"$5,464,790","$38,559,554","$44,024,344","$1,670,633",26.4,,
536,"$9,291,240","$67,777,854","$77,069,094","$2,444,802",31.5,,
537,"$14,802,540","$137,295,638","$152,098,178","$947,522",160.5,,
538,"$20,824,642","$130,224,298","$151,048,940","$2,057,021",73.4,,
539,"$25,282,300","$116,738,313","$142,020,613","$2,528,489",56.2,,
540,"$29,657,633","$225,933,934","$255,591,567","$2,596,749",98.4,,
541,"$42,659,801","$222,145,877","$264,805,679","$4,306,731",61.5,,
542,"$10,130,350","$79,799,511","$89,929,862","$3,035,166",29.6,,
543,"$12,072,964","$41,827,380","$53,900,345","$2,383,902",22.6,,
544,"$20,195,387","$196,841,411","$217,036,797","$1,565,826",138.6,,
545,"$34,235,932","$316,077,729","$350,313,662","$1,408,060",248.8,,
546,"$52,131,826","$395,093,325","$447,225,151","$1,724,691",259.3,,
547,"$10,637,378","$126,200,528","$136,837,906","$2,504,414",54.6,,
548,"$15,537,105","$377,707,825","$393,244,931","$3,455,780",113.8,,
549,"$16,137,679","$125,088,858","$141,226,536","$1,807,679",78.1,,
550,"$9,973,967","$38,036,508","$48,010,474","$656,326",73.2,,
551,"$24,866,162","$162,532,035","$187,398,197","$2,504,678",74.8,,
552,"$8,270,252","$89,237,138","$97,507,390","$3,269,336",29.8,,
553,"$9,708,489","$90,334,497","$100,042,986","$1,854,008",54.0,,
554,"$18,112,045","$193,814,596","$211,926,641","$3,135,022",67.6,,
555,"$7,273,152","$113,988,388","$121,261,540","$4,535,202",26.7,,
556,"$19,498,574","$162,150,169","$181,648,743","$3,079,360",59.0,,
557,"$22,724,962","$234,022,292","$256,747,254","$1,728,008",148.6,,
558,"$14,518,520","$99,942,641","$114,461,161","$1,693,124",67.6,,
